Month,PnL INR,Points,Trades,Return %,Avg PnL/Trade
2015-01,18940.5,631.3500000000001,18,12.63,1052.25
2015-02,57861.0,1928.7,27,38.57,2143.0
2015-03,42021.0,1400.7,25,28.01,1680.84
2015-04,-9355.5,-311.85000000000014,31,-6.24,-301.79
2015-05,799.5,26.65000000000001,26,0.53,30.75
2015-06,-3045.0,-101.50000000000011,34,-2.03,-89.56
2015-07,25686.0,856.1999999999999,31,17.12,828.58
2015-08,-17217.0,-573.9,28,-11.48,-614.89
2015-09,62721.0,2090.7,26,41.81,2412.35
2015-10,-15126.0,-504.20000000000005,24,-10.08,-630.25
2015-11,-35325.0,-1177.5,27,-23.55,-1308.33
2015-12,-16000.5,-533.35,31,-10.67,-516.15
2016-01,-6078.0,-202.6,29,-4.05,-209.59
2016-02,15238.5,507.94999999999993,28,10.16,544.23
2016-03,41115.0,1370.5,25,27.41,1644.6
2016-04,-2862.0,-95.39999999999992,25,-1.91,-114.48
2016-05,25404.0,846.7999999999998,24,16.94,1058.5
2016-06,-5013.0,-167.09999999999997,24,-3.34,-208.88
2016-07,20052.0,668.4000000000001,23,13.37,871.83
2016-08,-10153.5,-338.44999999999993,23,-6.77,-441.46
2016-09,12445.5,414.85,22,8.3,565.7
2016-10,23301.0,776.7,18,15.53,1294.5
2016-11,-26719.5,-890.6500000000001,28,-17.81,-954.27
2016-12,9085.5,302.85,23,6.06,395.02
2017-01,36927.0,1230.9,21,24.62,1758.43
2017-02,11871.0,395.7,22,7.91,539.59
2017-03,23703.0,790.1,21,15.8,1128.71
2017-04,-3316.5,-110.54999999999997,19,-2.21,-174.55
2017-05,6654.0,221.8000000000001,22,4.44,302.45
2017-06,22344.0,744.8,22,14.9,1015.64
2017-07,22330.5,744.3500000000001,18,14.89,1240.58
2017-08,5065.5,168.84999999999994,22,3.38,230.25
2017-09,25695.0,856.5,23,17.13,1117.17
2017-10,-32562.0,-1085.4,23,-21.71,-1415.74
2017-11,-12496.5,-416.54999999999995,27,-8.33,-462.83
2017-12,-3855.0,-128.50000000000009,19,-2.57,-202.89
2018-01,34179.0,1139.3,22,22.79,1553.59
2018-02,79263.0,2642.1,22,52.84,3602.86
2018-03,55522.5,1850.75,19,37.02,2922.24
2018-04,17541.0,584.7,24,11.69,730.88
2018-05,29209.5,973.65,25,19.47,1168.38
2018-06,18298.5,609.95,27,12.2,677.72
2018-07,14589.0,486.30000000000007,21,9.73,694.71
2018-08,-15691.5,-523.05,25,-10.46,-627.66
2018-09,6490.5,216.35000000000002,24,4.33,270.44
2018-10,-28912.5,-963.75,27,-19.28,-1070.83
2018-11,41446.5,1381.55,19,27.63,2181.39
2018-12,22576.5,752.5500000000001,23,15.05,981.59
2019-01,5196.0,173.2,26,3.46,199.85
2019-02,-13230.0,-441.0,25,-8.82,-529.2
2019-03,22017.0,733.8999999999999,21,14.68,1048.43
2019-04,18460.5,615.3499999999999,26,12.31,710.02
2019-05,93253.5,3108.45,23,62.17,4054.5
2019-06,21016.5,700.55,24,14.01,875.69
2019-07,50997.0,1699.9,29,34.0,1758.52
2019-08,14239.5,474.6500000000001,26,9.49,547.67
2019-09,23853.0,795.1,26,15.9,917.42
2019-10,-27126.0,-904.2,27,-18.08,-1004.67
2019-11,27295.5,909.85,23,18.2,1186.76
2019-12,-11671.5,-389.05000000000007,27,-7.78,-432.28
2020-01,-26079.0,-869.3000000000002,33,-17.39,-790.27
2020-02,30475.5,1015.8499999999999,21,20.32,1451.21
2020-03,158628.0,5287.6,30,105.75,5287.6
2020-04,-78405.0,-2613.5,30,-52.27,-2613.5
2020-05,78717.0,2623.9,29,52.48,2714.38
2020-06,86344.5,2878.15,29,57.56,2977.4
2020-07,26911.5,897.05,26,17.94,1035.06
2020-08,102567.0,3418.9,21,68.38,4884.14
2020-09,16762.5,558.7500000000001,26,11.18,644.71
2020-10,87573.0,2919.1,22,58.38,3980.59
2020-11,105744.0,3524.7999999999997,20,70.5,5287.2
2020-12,65229.0,2174.3,27,43.49,2415.89
2021-01,-14035.5,-467.84999999999985,28,-9.36,-501.27
2021-02,94653.0,3155.1,28,63.1,3380.46
2021-03,-90820.5,-3027.35,37,-60.55,-2454.61
2021-04,-45600.0,-1520.0,29,-30.4,-1572.41
2021-05,33294.0,1109.8,25,22.2,1331.76
2021-06,29178.0,972.6000000000001,25,19.45,1167.12
2021-07,-53724.0,-1790.8,34,-35.82,-1580.12
2021-08,-5886.0,-196.20000000000005,28,-3.92,-210.21
2021-09,-29100.0,-970.0,30,-19.4,-970.0
2021-10,23820.0,794.0,23,15.88,1035.65
2021-11,12729.0,424.30000000000007,25,8.49,509.16
2021-12,84472.5,2815.75,25,56.32,3378.9
2022-01,64387.5,2146.25,28,42.92,2299.55
2022-02,123222.0,4107.400000000001,26,82.15,4739.31
2022-03,241354.5,8045.15,19,160.9,12702.87
2022-04,27936.0,931.2,26,18.62,1074.46
2022-05,-15372.0,-512.4000000000001,30,-10.25,-512.4
2022-06,2599.5,86.64999999999972,32,1.73,81.23
2022-07,43104.0,1436.8000000000002,29,28.74,1486.34
2022-08,47115.0,1570.5000000000002,24,31.41,1963.12
2022-09,-36220.5,-1207.3499999999997,39,-24.15,-928.73
2022-10,-16021.5,-534.05,25,-10.68,-640.86
2022-11,-1162.5,-38.74999999999987,30,-0.78,-38.75
2022-12,25110.0,836.9999999999998,29,16.74,865.86
2023-01,-19168.5,-638.9499999999997,33,-12.78,-580.86
2023-02,65073.0,2169.1,23,43.38,2829.26
2023-03,-510.0,-16.999999999999943,25,-0.34,-20.4
2023-04,33675.0,1122.5,14,22.45,2405.36
2023-05,71317.5,2377.25,22,47.54,3241.7
2023-06,-2452.5,-81.74999999999997,20,-1.64,-122.62
2023-07,40861.5,1362.05,22,27.24,1857.34
2023-08,-15766.5,-525.55,27,-10.51,-583.94
2023-09,33507.0,1116.9,24,22.34,1396.12
2023-10,26541.0,884.6999999999998,22,17.69,1206.41
2023-11,32008.5,1066.95,21,21.34,1524.21
2023-12,27855.0,928.5,24,18.57,1160.62
2024-01,-15696.0,-523.1999999999999,30,-10.46,-523.2
2024-02,-45190.5,-1506.35,30,-30.13,-1506.35
2024-03,-11163.0,-372.1,21,-7.44,-531.57
2024-04,38265.0,1275.5,20,25.51,1913.25
2024-05,-35388.0,-1179.6,28,-23.59,-1263.86
2024-06,-34863.0,-1162.1000000000001,22,-23.24,-1584.68
2024-07,-90037.5,-3001.25,29,-60.02,-3104.74
2024-08,-39219.0,-1307.3,26,-26.15,-1508.42
2024-09,-31432.5,-1047.75,23,-20.96,-1366.63
2024-10,59410.5,1980.35,27,39.61,2200.39
2024-11,22990.5,766.3500000000001,24,15.33,957.94
2024-12,-6861.0,-228.70000000000005,27,-4.57,-254.11
2025-01,-5065.5,-168.84999999999985,37,-3.38,-136.91
2025-02,-72078.0,-2402.6,30,-48.05,-2402.6
2025-03,21646.5,721.55,22,14.43,983.93
2025-04,117148.5,3904.95,19,78.1,6165.71
2025-05,2943.0,98.09999999999997,25,1.96,117.72
2025-06,-355.5,-11.849999999999795,25,-0.24,-14.22
2025-07,15936.0,531.2,26,10.62,612.92
2025-08,33468.0,1115.6,18,22.31,1859.33
2025-09,16162.5,538.7499999999999,23,10.78,702.72
2025-10,41571.0,1385.6999999999998,21,27.71,1979.57
2025-11,44536.5,1484.55,21,29.69,2120.79
2025-12,55546.5,1851.55,19,37.03,2923.5
2026-01,-9945.0,-331.5,25,-6.63,-397.8
2026-02,57159.0,1905.3,25,38.11,2286.36
2026-03,152137.5,5071.25,22,101.43,6915.34
2026-04,219550.5,7318.349999999999,23,146.37,9545.67
2026-05,38953.5,1298.4500000000003,27,25.97,1442.72
2026-06,25249.5,841.6500000000001,12,16.83,2104.12
